County Code,County Description,LEA,School Name --------------------------------,Official School Name --------------------------------,Principal/Director Name Prefix,Principal/Director First Name,Principal/Director Middle Name,Principal/Director Last Name,Principal/Director Name Suffix,Principal/Director Email,Board Chair Name Prefix,Board Chair First Name,Board Chair Middle Name,Board Chair Last Name,Board Chair Name Suffix,Board Chair Email,Address Line1 -------------------,Address Line2,City,State,Zip Code 5,Mailing Address Line1 ---------------,Mailing Address Line2,Mailing City,Mailing State,Mailing Zip Code 5,Phone,Fax,Opening Effective Date,Grade Level Current,Grade Level Approved,Virtual Status
41,Guilford,41C,Guilford Preparatory Academy,Guilford Preparatory Academy,Mrs,Robin,EH,Bateson,-,rbateson@guilfordprep.org,Mr,Alton,-,Woods,-,altonwoods06@gmail.com,2240 East Cone Blvd,-,Greensboro,NC,27405,-,-,-,-,-,336.954.1344,336.954.1965,06/30/2001,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
41,Guilford,41D,"Phoenix Academy-  Primary, Elem. Upper ",Phoenix Academy Inc,Mrs,Heather,A,McNees,-,hmcnees@pahp.com,Mr,Perry ,-,Flynn,-,pfflynn@uncg.edu,7847 Clinard Farms Rd.,Meeting Way St. &  Mendenhall Oakes,High Point,NC,27265,7847 Clinard Farm Road,-,High Point,NC,27265,336.848.1870,336.464.2070,06/30/2000,KG:01:02:03:04:05:06:07:08:09:10,KG:01:02:03:04:05:06:07:08:09:10,FACEVIRTUAL
41,Guilford,41F,Triad Math and Science Academy,Triad Math and Science Academy,Mr,Fatih,-,Kandil,-,fkandil@tmsacharter.org,Dr,Terrence,-,Thomas,-,tthomas@tmsapcs.org,700 Creek Ridge Rd,-,Greensboro,NC,27406,-,-,-,-,-,336.621.0061,336.621.0072,07/01/2008,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
41,Guilford,41G,Cornerstone Charter Academy-CFA,Cornerstone Charter Academy: A Challenge Foundation Academy,Mr,Joe,-,Caraher,-,jcaraher@cornerstonek12.org,Mr,Cyndie,-,Swindlehurst,-,cswindlehurst@cornerstonek12.org,7800 Airport Center Drive,-,Greensboro,NC,27409,-,-,-,-,-,336.482.3855,336.482.3857,07/01/2012,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
41,Guilford,41H,College Prep and Leadership Academy,The College Preparatory and Leadership Academy of High Point,Dr,Michelle ,-,Johnson,-,mjohnson@thepointcollegeprep.org,Mr,Kevin,-,Grier,-,board@thepointcollegeprep.org,4201 Furniture Avenue,-,Jamestown,NC,27282,5700 Riverdale Drive,-,Jamestown,NC,27282,336.884.0131,336.542.2083,07/01/2012,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,SUPPVIRTUAL
41,Guilford,41J,Summerfield Charter Academy,Summerfield Charter Academy,Mr,Rudy,-,Swofford,-,98.rswofford@nhaschools.com,Ms,Debra,-,Wilson,-,redbrainiac@gmail.com,5303 Hwy 220 N,-,Summerfield,NC,27358,-,-,-,-,-,336.643.1974,336.217.8367,07/01/2013,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
41,Guilford,41K,Piedmont Classical High School,Piedmont Classical High School,Mr,Travis,-,Ward,-,tward@piedmontclassical.com,Mr,John,-,Fink,-,jfink@piedmontclassical.com,4100 YANCEYVILLE RD,-,BROWNS SUMMIT,NC,27214,-,-,-,-,-,336.897.1128,336.763.8364,07/01/2015,09:10:11:12,09:10:11:12,SUPPVIRTUAL
41,Guilford,41L,Gate City Charter,Gate City Charter Academy,Mrs,Natasha,-,Robertson,-,105.nrobertson@nhaschools.com,Mr,Jeff,-,Phillips,-,jeff@movegreensboro.com,123 Flemingfield Road,-,Greensboro,NC,27405,-,-,-,-,-,336.617.5900,336.232.1734,07/01/2016,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
41,Guilford,41M,Next Generation Academy,Next Generation Academy,Dr,Samuel,-,Misher,-,mishers@nextgenerationacademy.net,Dr,Charles ,-,Johnson,-,charjh5@aol.com,3740 South Holden Road,-,Greensboro,NC,27406,PO Box 36148,-,Greensboro,NC,27416,336.271.9030,336.691.2366,07/01/2018,KG:01:02:03:04:05,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
41,Guilford,41N,The Experiential School of Greensboro,The Experiential School of Greensboro,-,Tracy,-,Shaw,-,tshaw@tesgk8.org,Dr,Leila ,-,Villaverde,-,boardpresident@tesgk8.org,301 S Church St,-,Greensboro,NC,27401,-,-,-,-,-,336.890.8374,888.216.0056,07/01/2018,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
41,Guilford,41Q,Revolution Academy,Revolution Academy,Mrs,Mary ,Catherine,Sauer,-,mcsauer@revolutionacademyk8.com,Mr,John,-,Nosek,-,jnosek@revolutionacademyk8.com,3800 Oak Ridge Rd.,-,Summerfield,NC,27358,-,-,-,-,-,336.203.3690,336.369.8982,07/01/2020,KG:01:02:03:04:05:06:07,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
41,Guilford,41R,Summit Creek Academy,Summit Creek Academy,-,Amanda,-,Brown,-,115.abrown@nhaschools.com,-,Mark,-,Popple,-,downpoppie@gmail.com,2126 Scott Rd,-,Browns Summit,NC,27214,-,-,-,-,-,336.355.4447,336.217.8706,07/01/2021,KG:01:02:03:04:05,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
42,Halifax,42A,KIPP Halifax College Preparatory,KIPP Halifax College Preparatory,-,Tim,-,Saintsing,-,halifaxadmin@kippnc.org,Mr,Dinesh,-,Chopra,-,boardchair@kippnc.org,9986 Hwy 903,-,Halifax,NC,27839,-,-,-,-,-,252.410.0277,252.308.9656,07/01/2014,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
42,Halifax,42B,Hobgood Charter School,Hobgood Charter School,Mrs,Juliana,Whitehurst,Harris,-,jharris@hobgoodcharterschool.org,Mr,Joseph,-,McDowell,-,mcdowellspharmacy@gmail.com,201 S Beech St,-,Hobgood,NC,27843,-,-,-,-,-,252.242.1880,866.872.1689,07/01/2019,KG:01:02:03:04:05:06:07:08:09:10,KG:01:02:03:04:05:06:07:08:09:10,NOTVIRTUAL
43,Harnett,43C,Anderson Creek Academy,Anderson Creek Academy,Dr,Mary,-,Majors,-,majorsm@acacharter.com,Mr,John,D,Werderman,-,werdermanj@acacharter.com,4940 Ray Road,-,Spring Lake,NC,28390,-,-,-,-,-,910.814.9001,910.814.9002,07/01/2014,KG:01:02:03:04:05,KG:01:02:03:04:05,NOTVIRTUAL
43,Harnett,43D,Achievement Charter Academy,Achievement Charter Academy,-,Leaja,Hartman,Horne,-,leaja@achievementcharteracademy.org,Mr,Raymond,-,Strain,-,rstrain64@gmail.com,25 Buttonwood Ct.,-,Fuquay-Varina,NC,27526,-,-,-,-,-,919.552.5446,919.567.2854,07/01/2020,KG:01:02:03:04:05,KG:01:02:03:04:05,NOTVIRTUAL
44,Haywood,44A,Shining Rock Classical Academy,Shining Rock Classical Academy,-,Joshua,-,Morgan,-,jmorgan@shiningrock.org,-,Melanie,-,Norman,-,mnorman@shiningrock.org,2150 Russ Avenue,-,Waynesville,NC,28786,-,-,-,-,-,828.476.5150,828.454.1542,07/01/2015,KG:01:02:03:04:05:06:07:08:09,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
45,Henderson,45A,The Mountain Community Sch,The Mountain Community Sch,Ms,Denise,M,Pesce,-,dpesce@mytmcs.org,Ms,Jeannette,-,Butterworth,-,ncbutterworths@gmail.com,613 Glover Street,-,Hendersonville,NC,28792,-,-,-,-,-,828.696.8480,828.696.8451,06/30/1999,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
45,Henderson,45B,FernLeaf Community Charter School,FernLeaf Community Charter School,-,Michael,-,Luplow,-,michael.luplow@fernleafccs.org,-,Sam,-,Rule,-,sam.rule@fernleafccs.org,58 Howard Gap Rd,-,Fletcher,NC,28732,-,-,-,-,-,828.684.3645,828.575.5402,07/01/2016,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
49,Iredell,49B,American Renaissance School,American Renaissance School,Mr,James,Edward,Duffey,II,jim.duffey@arsnc.org,Mr,Tracy,-,Sain,-,tracy.sain@arsnc.org,132 East Broad Street,-,Statesville,NC,28677,-,-,-,-,-,704.924.8870,704.873.1398,06/30/1999,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
49,Iredell,49D,Success Institute Charter,Success Institute Charter School,Ms,Tenna,-,Williams,-,faithtdw10@gmail.com,-,Isha,-,Holmes,-,ishaholmes1@gmail.com,1424-2 Rickert St,-,Statesville,NC,28677,PO Box 1332,-,Statesville,NC,28687,704.881.0441,704.881.0870,06/30/2000,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
49,Iredell,49E,Pine Lake Preparatory,"Pine Lake Preparatory, Inc.",Mr,Andrew,-,Moceri,-,andrew.moceri@pinelakeprep.org,Mr,Jason,-,Yanni,-,jason.yanni@pinelakeprep.org,104 Yellow Wood Circle,-,Mooresville,NC,28115,-,-,-,-,-,704.237.5304,704.626.3434,07/03/2007,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
49,Iredell,49F,Langtree Charter Academy,Langtree Charter Academy,Mr,Shane,-,Lis,-,slis@langtreecharter.org,Mr,Martin,-,Conway ,-,mconway@nccharterfoundation.org,154 Foundation Ct,-,Mooresville,NC,28117,-,-,-,-,-,704.235.0865,704.360.3026,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
49,Iredell,49G,Iredell Charter Academy,Iredell Charter Academy,-,Andrea,Leah,Lopresti,-,alopresti1@iredellcharter.org,-,Martin,-,Conway,-,mconway@nccharterfoundation.org,251 Home Improvement Street,-,Troutman,NC,28166,-,-,-,-,-,704.508.0104,704.508.0105,07/01/2016,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
50,Jackson,50A,Summit Charter,Summit Charter School,Mr,Kurt,-,Pusch,-,kpusch@summitschool.org,Mrs,Betsy,-,Helms,-,betsy@merriewoode.com,370 Mitten Lane,-,Cashiers,NC,28717,-,-,-,-,-,828.743.5755,828.743.9157,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
51,Johnston,51A,Neuse Charter School,Neuse Charter School,Dr,Melissa,-,Blackwell,-,mblackwell@neusecharterschool.org,Mrs,Jane,-,Jackson,-,jjackson@neusecharterschool.org,909 Booker Dairy Rd,-,Smithfield,NC,27577,909 Booker Dairy Road,-,Smithfield,NC,27577,919.626.2300,919.938.1079,07/02/2007,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
51,Johnston,51B,Johnston Charter Academy,Johnston Charter Academy,-,Amber,-,Mcclure,-,108.amcclure@nhaschools.com,-,Brooke,-,Holmes,-,bholmes1313@gmail.com,40 Scholar Drive,-,Clayton,NC,27520,40 Scholar Drive,-,Clayton,NC,27520,919.879.8190,919.882.8368,07/01/2018,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
53,Lee,53B,Ascend Leadership Academy: Lee County,Ascend Leadership Academy: Lee County,-,Justin,-,Smith,-,jsmith@alaschoolsnc.org,Mr,Jason,-,Smith,-,jasonjsmith@mail.com,283 Harvey Faulk Road,-,Sanford,NC,27332,-,-,-,-,-,919.842.5411,919.842.3545,07/01/2018,06:07:08:09:10:11,06:07:08:09:10:11:12,NOTVIRTUAL
53,Lee,53C,MINA Charter School of Lee County,MINA Charter School of Lee County,Dr,Shawn,E,Williams,-,shawn.williams@minacs.org,Mrs,Jeannette,-,Peace,-,jeannette.peace@minacs.org,2732 Industrial Drive,-,Sanford,NC,27332,2732 Industrial Dr,-,Sanford,NC,27332,919.745.1442,919.589.4803,07/01/2020,KG:01:02:03:04:05:06,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
54,Lenoir,54A,Children's Village Academy,The Children's Village Academy,-,Jessica,-,Jones,-,jnjones01@cvatigers.com,-,Roy ,-,Lanier,-,rlanier47@hotmail.com,701 North Adkin Street,-,Kinston,NC,28501,PO Box 2206,-,Kinston,NC,28502,252.939.1958,252.939.1168,06/30/1997,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
55,Lincoln,55A,Lincoln Charter School,Lincoln Charter School,Mr,Jonathan,-,Bryant,-,jonathan.bryant@lincolncharter.org,Mr,Rob,-,Brown,-, rbrown@jonaslaw.com,7834 Galway Lane,-,Denver,NC,28037,-,-,-,-,-,704.483.6611,704.483.1039,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,NOTVIRTUAL
55,Lincoln,55B,West Lake Preparatory Academy,West Lake Preparatory Academy,Mrs,Jennifer,G,Wilson,-,jwilson1@wlakeprep.org,Mr,Tim,-,Holder,-,tholder@wlakeprep.org,1691 Forney Creek,-,Denver,NC,28037,1691 Forney Creek,-,Denver,NC,28037,704.966.2202,704.966.2203,07/01/2019,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
58,Martin,58B,Bear Grass Charter School,Bear Grass Charter School,Ms,Donna,-,Moore,-,dmoore@beargrasscharter.org,Mr,Delmas,-,Cumbee,-,dcumbee@beargrasscharter.org,6344 E Bear Grass Rd,-,Williamston,NC,27982,-,-,-,-,-,252.789.1010,252.789.1014,07/01/2012,06:07:08:09:10:11:12,06:07:08:09:10:11:12,SUPPVIRTUAL
60,Mecklenburg,60B,Sugar Creek Charter,Sugar Creek Charter,Ms,Cheryl,-,Turner,-,Turner.Cheryl@thesugarcreek.org,Mr,Bryan,-,Ives,-,Ives.Bryan@gmail.com,4101 N Tryon Street,-,Charlotte,NC,28206,-,-,-,-,-,704.509.5470,704.921.1004,06/28/1999,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,60D,Lake Norman Charter,Lake Norman Charter,-,Shannon,-,Stein,-,sstein@lncharter.org,-,Richard,-,Buckler,-,rbuckler@lncharter.org,12435 Old Statesville Road,-,Huntersville,NC,28078,-,-,-,-,-,704.948.8600,704.948.8778,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,NOTVIRTUAL
60,Mecklenburg,60F,Metrolina Reg Scholars Academy,Metrolina Regional Scholars Academy,Ms,Ari,-,Pieper,-,Director@scholarsacademy.org,Mr,Sridhar,-,Dasu,-,sridhar.dasu@gmail.com,5225 Seventy-Seven Center Dr,-,Charlotte,NC,28217,-,-,-,-,-,704.503.1112,704.503.1183,06/30/2000,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
60,Mecklenburg,60G,Queen's Grant Community School,Queen's Grant Community School,-,Krista,-,Tolchin,-,43.ktolchin@nhaschools.com,-,Ted,-,Biggers,-,carolinaboss@aol.com,6400 Matthews Mint Hill Road,-,Mint Hill,NC,28227,-,-,-,-,-,704.573.6611,704.943.2395,06/30/2002,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,SUPPVIRTUAL
60,Mecklenburg,60I,Community School of Davidson,Community School of Davidson,Mrs,Joy,-,Warner,-,jwarner@csdspartans.org,Mr,James,-,Beam ,-,csdboard@csdspartans.org,404 Armour Street,-,Davidson,NC,28036,-,-,-,-,-,704.897.8061,704.896.2025,07/01/2004,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,SUPPVIRTUAL
60,Mecklenburg,60J,Socrates Academy,Socrates Academy,Ms,Vanessa ,-,Baker,-,vbaker@socratesacademy.us,-,Larry,-,Peroulas,-,lperoulas@socratesacademy.us,3909 Weddington Rd,-,Matthews,NC,28105,-,-,-,-,-,704.321.1711,704.321.1714,07/02/2005,KG:01:02:03:04:05:06:07:08:09,KG:01:02:03:04:05:06:07:08:09,SUPPVIRTUAL
60,Mecklenburg,60K,Charlotte Secondary,Charlotte Secondary School,-,Keisha,-,Rock,-,keisha.rock@charlottesecondary.org,-,Beth,-,Chaitman,-,beth.chaitman@charlottesecondary.org,8601 McAlpine Park Dr,-,Charlotte,NC,28211,-,-,-,-,-,704.295.0137,704.295.0156,07/02/2007,06:07:08:09:10:11:12,06:07:08:09:10:11:12,SUPPVIRTUAL
60,Mecklenburg,60L,KIPP Charlotte,KIPP Charlotte,-,Tim,-,Saintsing,-,charlotteadmin@kippnc.org,Mr,Dinesh,-,Chopra,-,boardchair@kippnc.org,931 Wilann Dr,-,Charlotte,NC,28215,-,-,-,-,-,704.537.2044,704.537.2855,07/02/2007,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,60M,Corvian Community School,Corvian Community School,Mrs,Stacey,M.,Haskell,-,stacey.haskell@corvian.org,Mr,Ed,-,Franklin,-,ed.franklin@corvian.org,4041 Johnston Oehler Road,-,Charlotte,NC,28269,-,-,-,-,-,704.717.7550,704.496.2107,07/01/2012,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,60N,Aristotle Preparatory Academy,Aristotle Preparatory Academy,Mrs,Kelly,-,Scott,-,kscott@aristotlepa.org,Mrs,Siobhan ,-,Papa,-,spapa@board.aristotlepa.org,8101 Fallsdale Dr,-,Charlotte,NC,28214,-,-,-,-,-,980.237.0371,704.919.5462,07/01/2013,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,60P,Eastside STREAM Academy,Eastside STREAM Academy,Mr,John,A,Ozer,-,Administration@eastsidestream.org,Mr,Walter,-,Bowers,Jr,walterbowersjr@gmail.com,8000 Robinson Church Road,-,Charlotte,NC,28215,PO Box 44065,-,Charlotte,NC,28215,980.272.8308,704.323.7288,07/01/2013,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
60,Mecklenburg,60Q,Invest Collegiate Transform,Invest Collegiate Transform,Mr,Jeffrey,-,Foster,-,jeffreyfoster@ictransform.org,Dr,Mildred,-,Huey,-,-,2045 Suttle Ave,-,Charlotte,NC,28208,-,-,-,-,-,704.370.4000,704.376.6314,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10:11,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,60S,Bradford Preparatory School,Bradford Preparatory School,-,Kelly,-,Painter,-,kelly.painter@bradfordprep.org,-,Andrea ,-,Seymour,-,andrea.seymour@bradfordprep.org,2502 Salome Church Rd,-,Charlotte,NC,28262,-,-,-,-,-,704.549.0080,704.549.0085,07/01/2014,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,SUPPVIRTUAL
60,Mecklenburg,60U,Commonwealth High,Commonwealth High School,Dr,Jonathan,-,Kay,-,Jonathan.Kay@als-education.com,Mr,Reginald,-,Pincham,-,RTPincham@gmail.com,5112 Central Ave,-,Charlotte,NC,28205,-,-,-,-,-,704.899.4998,704.469.4661,07/01/2014,09:10:11:12,09:10:11:12,NOTVIRTUAL
60,Mecklenburg,60Y,Pioneer Springs Community School,Pioneer Springs Community School,-,Rebecca,-,Friend,-,beckyf@pioneersprings.org,-,Abigail,-,Jennings,-,abigailj@pioneersprings.org,9232 Bob Beatty Rd.,-,Charlotte,NC,28269,PO Box 480537,-,Charlotte,NC,28269,704.494.0777,980.920.1900,07/01/2014,KG:01:02:03:04:05:06:07:08:09:10,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,61J,Lakeside Charter Academy,Lakeside Charter Academy,Dr,Jim,-,Montague,-,j.montague@lakesidecharteracademy.com,Mr,Taft,-,Morley,-,t.morley@lakesidecharteracademy.com,17609 Old Statesville Rd,-,Cornelius,NC,28031,-,-,-,-,-,704.896.9500,833.471.3599,07/01/2014,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
60,Mecklenburg,61K,United Community School,United Community School,Mrs,Erika,-,Hedgepeth,-,erika@UCSnc.org,Mr,Ken,-,Hall,-,kenhall@bhtax.com,1406 Suther Road,-,Charlotte,NC,28213,-,-,-,-,-,980.819.0555,980.819.0663,07/01/2014,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
60,Mecklenburg,61L,Stewart Creek High,Stewart Creek High School,Ms,Tamara,-,Wynn,-,Tamara.Wynn@als-education.com,Mr,Reginald,-,Pincham,-,RTPincham@gmail.com,2701-F Freedom Dr,-,Charlotte,NC,28208,-,-,-,-,-,704.755.5112,704.960.1726,07/01/2015,09:10:11:12,09:10:11:12,NOTVIRTUAL
60,Mecklenburg,61M,Charlotte Lab School,Charlotte Lab School,Dr,Mary ,-,Moss,-,mmoss@charlottelabschool.org,Mr,Tom,-,Murray,-,tom.murray@crva.com,3325 S Tryon St,-,Charlotte,NC,28217,-,-,-,-,-,704.464.3830,-,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,61N,Queen City STEM School,Queen City STEM School,Mr,Murat,-,Alkan,-,malkan@queencitystem.org,Mr,Fahruddin,-,Mekic,-,fmekic@queencitystem.org,8701 Mallard Creek Rd,-,Charlotte,NC,28262,-,-,-,-,-,980.299.6633,980.299.6634,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10:11,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,61P,"VERITAS Community School, CFA",VERITAS Community School: A Challenge Foundation Academy,Mr,Michael,-,Silver,-,msilver@veritascommunityschool.org,Ms,Erika,-,Bowen,-,ebowen@board.veritascommunityschool.org,2600 Grimes Street,-,Charlotte,NC,28206,-,-,-,-,-,980.677.0101,704.228.3028,07/01/2015,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
60,Mecklenburg,61Q,Mallard Creek STEM Academy,Mallard Creek STEM Academy,-,Deanna ,-,Smith ,-,dsmith@mcstemacademy.org ,-,Jose ,-,Garcia,-,jag8237@gmail.com,9142 Browne Rd,-,Charlotte,NC,28269,-,-,-,-,-,980.288.4811,888.799.3166,07/01/2016,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
60,Mecklenburg,61R,Matthews Charter Academy,Matthews Charter Academy,-,Christy,-,Spurrier,-,106.cspurrier@nhaschools.com,-,Ed ,-,Sieber,-,charlotte.president@glassdoctor.com,2332 Mount Harmony Church Rd.,-,Matthews,NC,28104,-,-,-,-,-,980.339.5449,980.321.7058,07/01/2016,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
60,Mecklenburg,61S,Unity Classical Charter,Unity Classical Charter School,Mrs,Sheila,A. Oseguera,Reddick,-,sheila.goad@unityclassical.org,Mrs,Susan,-,Walker,-,susan.walker@board.unityclassical.org,1929 W Arrowood Rd,-,Charlotte,NC,28217,-,-,-,-,-,980.202.5899,980.206.0967,07/01/2017,KG:01:02:03:04:05:06,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
60,Mecklenburg,61T,Movement Charter School,Movement Charter School,-,Jamie,-,Sumter,-,jamie.sumter@movementschool.com ,-,Tim,-,Hurley,-,tim.hurley@movementschool.com,2701-B  Freedom Dr,-,Charlotte,NC,28208,-,-,-,-,-,704.585.1356,980.549.4635,07/01/2017,KG:01:02:03:04:05:06,KG:01:02:03:04:05:06,NOTVIRTUAL
60,Mecklenburg,61U,UpROAR Leadership Academy,UpROAR Leadership Academy,Ms,Genesia,K,Newsome,-,gnewsome@uproarleadership.org,Mr,Namaine ,C,Coombs,-,ncoombs@uproarleadership.org,5500 North Tryon St,-,Charlotte,NC,28213,-,-,-,-,-,980.299.0080,844.272.1463,07/01/2017,05:06:07:08:09:10:11:12,05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,61V,Bonnie Cone Classical Academy, Bonnie Cone Classical Academy,Mrs,Jennifer,-,Mognett,-,jmognett@bccaschools.org,Mr,Marty,-,McCarthy,-,mmccarthy@bccaschools.org,10700 Asbury Chapel Road,-,Huntersville,NC,28078,-,-,-,-,-,704.948.4439,704.912.1544,07/01/2019,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08:09,NOTVIRTUAL
60,Mecklenburg,61W,East Voyager Academy of Charlotte,East Voyager Academy of Charlotte,Mrs,Renee,-,Mathews,-,rmathews@eastvoyager.org,Dr,Jian,-,Zhang,-,jzhang@eastvoyager.org,7429 Tuckaseegee Rd.,-,Charlotte,NC,28214,-,-,-,-,-,704.412.6988,704.413.3660,07/01/2018,PK:KG:01:02:03:04:05:06:07,PK:KG:01:02:03:04:05:06:07:08,SUPPVIRTUAL
60,Mecklenburg,61X,Jackson Day School,Jackson Day School,-,Tammy,-,Winstead,-,twinstead@earlybeginningscdc.com,Mrs,Amy ,-,Bruinning,-,Amy.Bruining@cpcc.edu,1209 Little Rock Rd ,-,Charlotte,NC,28214,-,-,-,-,-,704.391.5516,704.391.2540,07/01/2018,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
60,Mecklenburg,61Y,Steele Creek Preparatory Academy,Steele Creek Preparatory Academy,-,Kimberly,L,Alexander,-,kalexander@steelecreekprep.org,-,Matthew,-,Ridenhour,-,mridenhour@steelecreekprep.org,2200 Shopton Road,-,Charlotte,NC,28217,2200 Shopton Road,-,Charlotte,NC,28217,980.243.5580,980.243.5581,07/01/2019,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
62,Montgomery,62A,Tillery Charter Academy,Tillery Charter Academy,-,Teresa ,-,Harrison,-,tillerycharteracademy@gmail.com,Ms,Christine,-,Fisher,-,chrissy.lavoie@gmail.com,204 Lambert Rd.,-,Biscoe,NC,27209,-,-,-,-,-,910.828.4143,910.828.4165,07/01/2019,KG:01:02:03:04,KG:01:02:03:04:05,NOTVIRTUAL
60,Mecklenburg,62J,Southwest Charlotte STEM Academy,Southwest Charlotte STEM Academy,Mrs,Shekeria,-,Barnes,-,sbarnes@scstemacademy.org,Mr,Jose,-,Garcia,-,jag8236@gmail.com ,5203 Shopton Rd,-,Charlotte,NC,28278,-,-,-,-,-,-,-,07/01/2019,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
